# This is a continuation of trace file C:\Users\s.puzyrevskiy\AppData\Local\1C\1cedtstart\projects\Дневник трейдера\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2026-04-24 10:58:03.238
| derived_data_executor_8 | 2026-04-24 10:58:03.244 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.form.model.impl.ExtendedTooltipImpl@dd30ef9d, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.244 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@6d91cf9e, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.244 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@eadcb7a0, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.245 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.form.model.impl.EventHandlerImpl@e6f887a4, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.245 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@42e95fa4, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.245 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@eb1bbfa9, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.246 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@7bcc1faa, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.246 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@73ed77ad, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.246 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.form.model.impl.CommandHandlerImpl@75f8ffb0, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
| derived_data_executor_8 | 2026-04-24 10:58:03.247 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined top object to calculate what to update in infobase: changed file=L/Чаты_единое_окно/src/DataProcessors/ПанельАдминистрированияБСП/Forms/ОбщиеНастройки/Form.form, changed object=com._1c.g5.v8.dt.form.model.impl.ExtendedTooltipImpl@dd7c97b5, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@f7f32fa9 |
